/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
53.40	349.61	177-1089B-6-3,69-70.5	2.69	-0.26	3.71	-1.45	46.8	
53.45	349.80	177-1089B-6-3,75-76.5	2.98	0.18	3.75	-1.30	42.0	30.0
53.50	350.00	177-1089B-6-3,79-80.5	2.95	-0.05	3.65	-1.45	42.2	
53.55	350.34	177-1089B-6-3,85-86.5	3.09	-0.08	3.81	-0.95	43.0	
53.60	350.69	177-1089B-6-3,89-90.5	2.85	-0.04	3.70	-1.58	43.4	
53.65	351.03	177-1089B-6-3,95-96.5	2.77	-0.46	3.70	-1.23	41.5	44.1
53.70	351.38	177-1089B-6-3,99-100.5	2.78	-0.42	3.76	-1.13	38.4	
53.75	351.72	177-1089B-6-3,105-106.5	3.01	-0.01	3.71	-1.48	36.4	
53.80	352.07	177-1089B-6-3,109-110.5	2.85	-0.19	3.82	-1.13	35.5	
53.85	352.41	177-1089B-6-3,115-116.5	2.85	-0.74	3.79	-1.32	33.3	23.6
53.90	352.76	177-1089B-6-3,119-120.5	2.85	-0.54	3.83	-1.48	34.6	
53.95	353.10	177-1089B-6-3,125-126.5	3.04	-0.05	3.80	-1.15	34.8	
54.00	353.45	177-1089B-6-3,129-130.5	3.08	-0.15	3.82	-1.19	33.9	
54.05	353.79	177-1089B-6-3,135-136.5	2.78	-0.30	3.83	-1.01	33.7	35.3
54.10	354.14	177-1089B-6-3,139-140.5	2.94	-0.27	3.82	-1.61	33.3	
54.15	354.48	177-1089B-6-3,145-146.5	3.00	-0.54	3.94	1.10	29.9	
54.20	354.83	177-1089B-6-3,149-150			3.86	-1.30	31.3	
54.25	355.17	177-1089B-6-4,0-1.5	3.01	0.18	3.87	-1.25	29.3	44.0
54.25	355.21	177-1089B-6-4,4-5.5	2.96	-0.31	3.96	-0.61	28.9	
54.30	355.52	177-1089B-6-4,10-11.5	3.00	-0.28	3.85	-1.27	29.0	
54.35	355.86	177-1089B-6-4,15-16.5			3.92	-1.19	28.3	
54.40	356.21	177-1089B-6-4,19-20.5	3.07	-0.08			25.7	30.2
54.45	356.55	177-1089B-6-4,25-26.5	2.63	-0.50	3.75	-1.39	25.3	
54.50	356.90	177-1089B-6-4,30-31.5	2.50	-0.37			24.6	
54.55	357.24	177-1089B-6-4,35-36.5	2.93	-0.26	3.85	-1.44	19.6	
54.60	357.59	177-1089B-6-4,39-40.5	2.79	-0.55			18.2	36.7
54.65	357.93	177-1089B-6-4,45-46.5	2.86	-0.22	3.84	-0.83	16.9	
54.70	358.28	177-1089B-6-4,49-50.5	2.80	-0.31	3.91	-1.57	16.5	
54.75	358.62	177-1089B-6-4,55-56.5	2.94	0.33	3.98	-1.05	16.0	
54.80	358.97	177-1089B-6-4,59-60.5	2.92	0.19	3.83	-1.15	16.6	22.9
54.85	359.31	177-1089B-6-4,65-66.5	2.97	0.04	3.88	-1.08	16.6	
54.90	359.66	177-1089B-6-4,69-70.5	2.95	-0.08	3.75	-1.08	18.4	
54.95	360.00	177-1089B-6-4,75-76.5	2.91	-0.21	3.90	-1.20	18.4	
55.00	360.25	177-1089B-6-4,79-80.5	2.99	-0.05	3.85	-1.05	18.5	24.4
55.05	360.51	177-1089B-6-4,85-86.5	2.82	-0.44	3.90	-1.40	22.8	
55.10	360.76	177-1089B-6-4,89-90.5	3.19	0.41			25.3	
55.15	361.02	177-1089B-6-4,95-96.5			3.93	-1.24	28.0	
55.20	361.27	177-1089B-6-4,99-100.5	2.97	-0.07	3.88	-0.89	28.1	27.9
55.25	361.52	177-1089B-6-4,105-106.5	2.81	-0.21	3.90	-1.42	30.2	
55.30	361.78	177-1089B-6-4,109-110.5	3.03	-0.01	3.87	-1.26	28.6	
55.35	362.03	177-1089B-6-4,115-116.5	3.01	-0.02			26.7	
55.40	362.29	177-1089B-6-4,119-120.5	2.82	0.03			27.3	39.0
55.45	362.54	177-1089B-6-4,125-126.5			3.78	-1.46	29.5	
55.50	362.79	177-1089B-6-4,129-130.5	2.86	-0.32	3.72	-1.11	30.8	
55.55	363.05	177-1089B-6-4,135-136.5	3.04	0.12	3.80	-1.05	25.5	
55.60	363.30	177-1089B-6-4,139-140.5			3.77	-1.14	26.6	25.9
55.65	363.55	177-1089B-6-4,145-146.5	3.00	0.20	3.67	-0.77	27.3	
55.70	363.81	177-1089B-6-5,0-1.5			3.75	-1.32	23.8	
55.75	364.06	177-1089B-6-5,5-6.5	3.15	0.22	3.73	-1.08	18.9	
55.80	364.32	177-1089B-6-5,10-11.5	2.98	0.12	3.64	-1.21	17.6	27.3
55.85	364.57	177-1089B-6-5,15-16.5	3.04	0.41	3.64	-1.01	19.4	
55.90	364.82	177-1089B-6-5,20-21.5	3.07	0.63	3.65	-1.02	21.5	
55.95	365.08	177-1089B-6-5,25-26.5			3.70	-1.04	24.4	
56.00	365.33	177-1089B-6-5,30-31.5	3.00	0.57	3.73	-1.26	25.5	28.9
56.05	365.59	177-1089B-6-5,35-36.5	2.96	0.17	3.66	-1.30	25.6	
56.10	365.84	177-1089B-6-5,40-41.5	2.83	0.05	3.69	-0.96	24.3	
56.15	366.09	177-1089B-6-5,45-46.5	2.91	0.01	3.68	-0.98	26.4	
56.20	366.35	177-1089B-6-5,50-51.5	2.95	-0.13	3.66	-0.86	20.8	30.4
56.25	366.60	177-1089B-6-5,55-56.5	2.88	0.00	3.57	-1.13	19.8	
56.30	366.86	177-1089B-6-5,60-61.5	2.80	-0.07	3.65	-1.16	24.6	
56.35	367.11	177-1089B-6-5,65-66.5	2.75	-0.06	3.57	-1.27	31.5	
56.40	367.36	177-1089B-6-5,70-71.5	2.73	-0.17	3.53	-1.04	37.3	46.1
56.45	367.62	177-1089B-6-5,75-76.5	2.87	0.10			37.5	
56.50	367.87	177-1089B-6-5,80-81.5	2.85	0.44	3.40	-1.12	29.6	
56.55	368.12	177-1089B-6-5,85-86.5	2.71	-0.07	3.36	-0.80	18.4	
56.60	368.38	177-1089B-6-5,90-91.5	2.65	0.04	3.30	-1.14	15.9	38.0
56.65	368.63	177-1089B-6-5,95-96.5	2.49	-0.24	3.54	-1.26	12.6	
56.70	368.89	177-1089B-6-5,100-101.5	2.53	-0.18	3.66	-0.94	12.3	
56.75	369.14	177-1089B-6-5,105-106.5	2.61	-0.19	3.65	-1.37	15.7	
56.80	369.39	177-1089B-6-5,110-111.5	2.46	-0.05	3.53	-1.35	20.3	46.7
56.85	369.65	177-1089B-6-5,115-116.5	2.54	-0.18	3.61	-1.03	26.1	
56.90	369.90	177-1089B-6-5,120-121.5	2.73	0.32	3.68	-0.55	28.3	
56.92	370.00	177-1089C-7-1,80-81.5	2.65	0.17			27.1	
56.97	370.26	177-1089C-7-1,85-86.5	2.64	0.23	3.54	-0.77	29.5	
57.02	370.51	177-1089C-7-1,90-91.5			3.56	-0.89	23.8	39.0
57.07	370.77	177-1089C-7-1,95-96.5	2.76	0.51	3.56	-1.13	15.4	
57.12	371.02	177-1089C-7-1,100-101.5	2.71	0.02	3.50	-0.94	19.2	
57.17	371.27	177-1089C-7-1,105-106.5	2.61	0.11	3.54	-0.83	16.1	
57.22	371.53	177-1089C-7-1,110-111.5	2.50	0.00	3.52	-1.19	15.6	
57.27	371.78	177-1089C-7-1,115-116.5	2.52	-0.27	3.51	-1.11	13.7	34.2
57.32	372.04	177-1089C-7-1,120-121.5			3.53	-1.08	15.1	
57.37	372.29	177-1089C-7-1,125-126.5	2.59	-0.07	3.57	-1.14	21.3	
57.42	372.54	177-1089C-7-1,130-131.5	2.67	0.23	3.59	-1.03	23.9	
57.47	372.80	177-1089C-7-1,135-136.5	2.68	0.08	3.49	-1.38	24.9	41.6
57.52	373.05	177-1089C-7-1,140-141.5			3.42	-0.93	26.7	
57.57	373.30	177-1089C-7-1,145-146.5			3.54	-0.95	22.8	
57.62	373.56	177-1089C-7-2,0-1.5	2.68	0.15	3.35	-1.05	14.0	
57.67	373.81	177-1089C-7-2,5-6.5	2.68	0.05	3.48	-1.33	14.3	40.9
57.72	374.07	177-1089C-7-2,10-11.5	2.47	0.06	3.45	-1.36	16.1	
57.77	374.32	177-1089C-7-2,15-16.5	2.90	0.03	3.50	-0.80	20.2	
57.82	374.57	177-1089C-7-2,20-21.5	2.45	0.22	3.61	-0.59	21.3	
57.87	374.83	177-1089C-7-2,25-26.5	2.67	0.32	3.54	-1.30	23.1	35.2
57.92	375.08	177-1089C-7-2,30-31.5	2.72	0.45	3.52	-0.95	24.6	
57.97	375.34	177-1089C-7-2,35-36.5	2.95	0.36	3.54	-0.94	25.7	
58.02	375.59	177-1089C-7-2,40-41.5			3.59	-0.78	26.4	
58.07	375.84	177-1089C-7-2,45-46.5	2.71	0.09	3.54	-0.37	26.6	54.8
58.12	376.10	177-1089C-7-2,50-51.5	2.65	-0.15	3.46	-0.37	26.7	
58.17	376.35	177-1089C-7-2,55-56.5	2.45	-0.06			26.6	
58.22	376.61	177-1089C-7-2,60-61.5	2.73	0.45	3.48	-0.32	31.4	
58.27	376.86	177-1089C-7-2,65-66.5	2.56	0.20	3.51	-0.28	30.0	60.5
58.32	377.11	177-1089C-7-2,70-71.5	2.75	0.53	3.57	-0.11	32.6	
58.37	377.37	177-1089C-7-2,75-76.5	2.59	0.23	3.52	-0.64	29.1	
58.42	377.62	177-1089C-7-2,80-81.5	2.54	-0.18	3.61	-0.49	25.8	
58.47	377.87	177-1089C-7-2,85-86.5	2.47	-0.39	3.45	-0.22	21.1	65.3
58.52	378.13	177-1089C-7-2,90-91.5	2.42	0.14	3.46	-0.56	14.8	
58.57	378.38	177-1089C-7-2,95-96.5			3.33	-0.71	6.9	
58.62	378.64	177-1089C-7-2,100-101.5	2.46	0.20	3.32	-1.74	4.0	
58.67	378.89	177-1089C-7-2,105-106.5	2.62	0.36	3.55	-1.08	4.4	24.3
58.72	379.14	177-1089C-7-2,110-111.5	2.44	0.00	3.47	-0.94	6.3	
58.77	379.40	177-1089C-7-2,115-116.5	2.43	0.10	3.52	-0.56	10.1	
58.82	379.65	177-1089C-7-2,120-121.5	2.54	-0.14	3.50	-0.55	11.5	
58.87	379.91	177-1089C-7-2,125-126.5	2.86	0.24	3.57	-0.60	11.9	53.0
58.92	380.16	177-1089C-7-2,130-131.5	2.71	0.23	3.50	-0.69	12.0	
58.97	380.41	177-1089C-7-2,135-136.5	2.55	-0.07	3.58	-0.85	10.8	
59.02	380.67	177-1089C-7-2,140-141.5	2.50	0.34	3.53	0.06	13.7	
59.07	380.92	177-1089C-7-2,145-146.5	2.58	0.53	3.44	-0.55	12.4	
59.12	381.18	177-1089C-7-3,0-1.5	2.40	0.29	3.45	-0.33	20.0	
59.17	381.43	177-1089C-7-3,5-6.5	2.57	0.48	3.32	-0.72	18.8	73.6
59.22	381.68	177-1089C-7-3,10-11.5	2.71	0.27	3.55	-0.43	20.3	
59.27	381.94	177-1089C-7-3,15-16.5	2.52	0.47	3.58	-0.28	16.4	
59.32	382.19	177-1089C-7-3,20-21.5	2.56	0.26	3.47	-0.12	16.8	
59.37	382.45	177-1089C-7-3,25-26.5	2.52	0.56	3.48	-0.20	17.1	76.1
59.42	382.70	177-1089C-7-3,30-31.5			3.43	-0.36	12.9	
59.47	382.95	177-1089C-7-3,35-36.5	2.08	0.07	3.42	-0.14	12.0	
59.52	383.21	177-1089C-7-3,40-41.5	2.60	0.24	3.46	-0.56	11.0	
59.57	383.46	177-1089C-7-3,45-46.5	2.40	-0.03	3.41	-0.48	14.3	64.7
59.62	383.71	177-1089C-7-3,50-51.5	2.36	0.41	3.39	-0.55	17.8	
59.67	383.97	177-1089C-7-3,55-56.5	2.46	0.34			16.4	
59.72	384.22	177-1089C-7-3,60-61.5	2.58	0.00	3.44	-0.01	17.2	
59.77	384.48	177-1089C-7-3,65-66.5			3.37	-0.06	25.2	27.4
59.82	384.73	177-1089C-7-3,70-71.5	2.32	0.14	3.22	-0.10	14.6	
59.87	384.98	177-1089C-7-3,75-76.5					15.8	
59.92	385.24	177-1089C-7-3,80-81.5	2.40	0.20	3.32	-0.06	19.4	76.2
59.97	385.49	177-1089C-7-3,85-86.5	2.60	0.78			16.3	
60.02	385.75	177-1089C-7-3,90-91.5			3.17	-0.54	7.0	
60.07	386.00	177-1089C-7-3,95-96.5			3.32	-0.63	5.5	
60.12	386.32	177-1089C-7-3,100-101.5	2.30	-0.16	3.22	-1.01	9.2	
60.17	386.63	177-1089C-7-3,105-106.5	2.20	0.26	3.31	-0.25	16.9	47.6
60.22	386.95	177-1089C-7-3,110-111.5	2.34	0.43	3.45	-0.50	20.3	
60.27	387.26	177-1089C-7-3,115-116.5	2.36	0.89	3.37	0.13	21.1	
60.32	387.58	177-1089C-7-3,120-121.5	2.31	0.52	3.22	0.44	24.0	
60.37	387.89	177-1089C-7-3,125-126.5			3.25	-0.01	23.1	90.8
60.42	388.21	177-1089C-7-3,130-131.5	2.29	0.80	3.35	-0.49	26.9	
60.47	388.53	177-1089C-7-3,135-136.5	2.17	-0.01	3.25	-0.41	26.3	
60.52	388.84	177-1089C-7-3,140-141.5	2.31	0.60	3.39	-0.14	23.1	
60.57	389.16	177-1089C-7-3,145-146.5	2.34	0.31			15.3	82.0
60.62	389.47	177-1089C-7-4,0-1.5	2.35	0.59	3.17	-0.30	4.3	
60.67	389.79	177-1089C-7-4,5-6.5	2.46	0.42	3.25	-0.26	2.2	
60.72	390.11	177-1089C-7-4,10-11.5	2.03	0.30	3.26	-0.71	2.5	
60.77	390.42	177-1089C-7-4,15-16.5	2.18	-0.03			2.1	28.3
60.82	390.74	177-1089C-7-4,20-21.5	2.04	-0.27	3.32	-0.33	5.3	
60.87	391.05	177-1089C-7-4,25-26.5			3.30	-0.56	12.1	
60.92	391.37	177-1089C-7-4,30-31.5			3.49	-0.54	8.5	
60.97	391.68	177-1089C-7-4,35-36.5					8.3	67.0
61.02	392.00	177-1089C-7-4,40-41.5			3.29	-0.22	7.2	
61.07	392.55	177-1089C-7-4,45-46.5					7.3	
61.12	393.10	177-1089C-7-4,50-51.5	2.25	0.49	3.38	-0.12	6.1	
61.17	393.66	177-1089C-7-4,55-56.5	2.47	0.20			4.8	28.1
61.22	394.21	177-1089C-7-4,60-61.5	2.07	-0.25			4.3	
61.27	394.76	177-1089C-7-4,65-66.5					4.7	
61.32	395.31	177-1089C-7-4,70-71.5					3.7	
61.37	395.86	177-1089C-7-4,75-76.5					5.2	93.9
61.42	396.41	177-1089C-7-4,80-81.5			3.09	-0.10	8.0	
61.47	396.97	177-1089C-7-4,85-86.5	2.17	0.46	3.19	-0.31	7.8	
61.52	397.52	177-1089C-7-4,90-91.5			3.09	-0.02	10.3	
61.57	398.07	177-1089C-7-4,95-96.5			3.05	0.48	11.9	72.2
61.62	398.62	177-1089C-7-4,100-102			2.76	0.45	11.9	
61.67	399.17	177-1089C-7-4,105-107			2.89	0.34	12.8	
61.72	399.72	177-1089C-7-4,110-112			2.74	0.36	12.5	
61.77	400.28	177-1089C-7-4,115-117			2.73	0.52	13.8	87.5
61.82	400.83	177-1089C-7-4,120-122			2.63	0.11	13.3	
61.87	401.38	177-1089C-7-4,125-127					16.5	
61.92	401.93	177-1089C-7-4,130-132			2.58	0.66	16.4	
61.97	402.48	177-1089C-7-4,135-137					15.5	79.8
62.02	403.03	177-1089C-7-4,140-142			2.63	0.46	13.9	
62.07	403.59	177-1089C-7-4,145-147					11.6	
62.12	404.14	177-1089C-7-5,0-1.5			2.50	0.50	11.4	
62.17	404.69	177-1089C-7-5,5-6.5			2.41	0.02	11.7	88.4
62.22	405.24	177-1089C-7-5,10-11.5			2.43	-0.20	11.8	
62.27	405.79	177-1089C-7-5,15-16.5			2.45	0.65	13.4	
62.32	406.34	177-1089C-7-5,20-21.5			2.36	0.20	12.9	
62.37	406.90	177-1089C-7-5,25-26.5			2.34	-0.32	14.2	84.0
62.42	407.45	177-1089C-7-5,30-31.5			2.33	-0.39	16.3	
62.47	408.00	177-1089C-7-5,35-36.5			2.31	-0.09	15.9	
62.52	408.40	177-1089C-7-5,40-41.5			2.27	0.15	13.5	
62.57	408.80	177-1089C-7-5,45-46.5					13.3	87.2
62.62	409.20	177-1089C-7-5,50-51.5					13.6	
62.67	409.60	177-1089C-7-5,55-56.5			2.46	0.01	15.0	
62.72	410.00	177-1089C-7-5,60-61.5			2.35	0.50	16.5	
62.77	410.40	177-1089C-7-5,65-66.5			2.29	0.10	16.0	81.1
62.82	410.80	177-1089C-7-5,70-71.5			2.39	0.47	16.3	
62.87	411.20	177-1089C-7-5,75-76.5					16.0	87.0
62.92	411.60	177-1089C-7-5,80-81.5			2.40	-0.34	17.3	
62.97	412.00	177-1089C-7-5,85-86.5			2.45	0.21	16.8	83.2
63.02	412.40	177-1089C-7-5,90-91.5					18.7	
63.07	412.80	177-1089C-7-5,95-96.5			2.54	0.17	20.4	84.7
63.12	413.20	177-1089C-7-5,100-102			2.44	0.37	23.5	
63.17	413.60	177-1089C-7-5,105-107					23.8	81.3
63.22	414.00	177-1089C-7-5,110-112					24.2	
63.27	414.40	177-1089C-7-5,115-117			2.59	0.38	24.0	77.5
63.32	414.80	177-1089C-7-5,120-122			2.63	-0.04	27.0	
63.37	415.20	177-1089C-7-5,125-127			2.48	-0.04	32.4	71.6
63.42	415.60	177-1089C-7-5,130-132			2.75	0.05	34.6	
63.47	416.00	177-1089C-7-5,135-137			2.72	-0.24	35.6	70.9
63.52	416.40	177-1089C-7-5,140-142	1.75	1.27	2.72	-0.01	41.3	
63.57	416.80	177-1089C-7-5,145-147			2.83	0.09	44.1	46.8
63.62	417.20	177-1089C-7-6,0-1.5			2.83	0.12	45.1	
63.67	417.60	177-1089C-7-6,5-6.5			2.73	0.20	48.1	55.9
63.72	418.00	177-1089C-7-6,10-11.5			2.86	-0.08	52.2	
63.77	418.40	177-1089C-7-6,15-16.5			2.91	0.02	54.4	52.2
63.82	418.80	177-1089C-7-6,20-21.5	2.05	0.72			53.3	
63.87	419.20	177-1089C-7-6,25-26.5	2.32	0.65	2.98	-0.08	52.4	49.1
63.92	419.60	177-1089C-7-6,30-31.5	2.21	0.52			57.3	
63.97	420.00	177-1089C-7-6,35-36.5	2.23	0.41			58.4	43.8
64.02	420.40	177-1089C-7-6,40-41.5	2.19	0.66	2.91	0.10	59.0	
64.07	420.80	177-1089C-7-6,45-46.5	2.33	0.57	2.94	0.10	59.6	37.5
64.12	421.20	177-1089C-7-6,50-51.5	2.32	0.57			61.6	
64.17	421.60	177-1089C-7-6,55-56.5	2.38	0.56			61.8	45.2
64.22	422.00	177-1089C-7-6,60-61.5					61.9	
64.27	422.40	177-1089C-7-6,65-66.5	2.41	0.37	3.11	0.03	63.8	46.2
64.32	422.80	177-1089C-7-6,70-71.5	2.48	0.52	3.04	-0.08	67.0	
64.37	423.20	177-1089C-7-6,75-76.5	2.46	0.21	3.11	-0.11	66.3	44.4
64.42	423.60	177-1089B-7-3,100-102	2.60	0.42	3.16	0.03	70.0	
64.47	424.00	177-1089B-7-3,105-107	2.66	0.32	3.21	-0.28	70.8	42.1
64.52	424.28	177-1089B-7-3,110-112	2.68	0.37	3.35	-0.29	69.4	
64.57	424.56	177-1089B-7-3,115-117	2.66	0.15	3.18	-0.25	68.4	41.5
64.62	424.84	177-1089B-7-3,120-122	2.75	0.07	3.45	-0.27	68.6	
64.67	425.12	177-1089B-7-3,125-127					65.6	47.2
64.72	425.40	177-1089B-7-3,130-132	2.71	0.38			64.6	
64.77	425.68	177-1089B-7-3,135-137	2.59	0.16			62.8	39.1
64.82	425.96	177-1089B-7-3,140-142	2.70	0.14			61.4	
64.87	426.23	177-1089B-7-3,145-147	2.92	0.18			64.3	43.0
64.92	426.51	177-1089B-7-4,0-1.5	2.49	-0.26	3.65	-0.19	62.2	66.7
64.97	426.79	177-1089B-7-4,5-6.5			3.68	-0.19	57.4	63.2
65.02	427.07	177-1089B-7-4,10-11.5	2.71	-0.38	3.82	-0.45	55.2	62.8
65.07	427.35	177-1089B-7-4,15-16.5	2.71	-0.14			55.3	63.4
65.12	427.63	177-1089B-7-4,20-21.5	3.19	0.30	3.98	-0.43	57.6	52.8
65.17	427.91	177-1089B-7-4,25-26.5	3.00	0.19			54.2	49.3
65.22	428.19	177-1089B-7-4,30-31.5	3.14	-0.18	4.25	-1.06	56.8	
65.27	428.47	177-1089B-7-4,35-36.5	3.14	-0.21	4.16	-0.94	54.8	41.5
65.32	428.75	177-1089B-7-4,40-41.5	2.90	-0.51			51.6	35.4
65.42	429.31	177-1089B-7-4,50-51.5	3.11	-0.25	4.25	-1.13	48.1	
65.47	429.59	177-1089B-7-4,55-56.5	3.42	-0.09	4.35	-1.35	50.3	32.6
65.52	429.87	177-1089B-7-4,60-61.5	3.21	-0.17	4.33	-1.14	52.7	
65.57	430.15	177-1089B-7-4,65-66.5	3.33	-0.49	4.30	-0.97	54.1	23.3
65.62	430.42	177-1089B-7-4,70-71.5	3.27	-0.11	4.28	-1.17	49.3	
65.67	430.70	177-1089B-7-4,75-76.5	3.26	-0.22	4.27	-0.99	49.1	28.6
65.72	430.98	177-1089B-7-4,80-81.5	3.11	-0.66	4.17	-1.30	45.2	
65.77	431.26	177-1089B-7-4,85-86.5	3.14	-0.68	4.40	-0.72	46.9	20.1
65.82	431.54	177-1089B-7-4,90-91.5	3.34	-0.81	4.34	-1.04	47.6	
65.87	431.82	177-1089B-7-4,95-96.5	3.59	-0.07	4.29	-1.13	47.9	25.7
65.92	432.10	177-1089B-7-4,100-102	3.39	-0.39	4.42	-1.06	47.0	
65.97	432.38	177-1089B-7-4,105-107	3.42	-0.45	4.33	-1.34	46.1	23.1
66.02	432.66	177-1089B-7-4,110-112	3.39	-0.28	4.38	-1.03	47.8	
66.07	432.94	177-1089B-7-4,115-117	3.48	-0.27	4.38	-1.51	50.2	21.6
66.12	433.22	177-1089B-7-4,120-122			4.44	-0.93	51.0	
66.17	433.50	177-1089B-7-4,125-127			4.36	-1.14	50.9	15.4
66.22	433.78	177-1089B-7-4,130-132			4.43	-1.19	51.1	
66.27	434.04	177-1089B-7-4,135-137	3.56	0.12	4.29	-0.94	51.8	25.4
66.32	434.21	177-1089B-7-4,140-142	3.40	-0.24	4.50	-1.15	55.2	
66.37	434.39	177-1089B-7-4,145-147	3.61	0.13	4.30	-1.36	53.3	22.4
66.42	434.57	177-1089B-7-5,0-1.5	3.25	-0.24	4.28	-1.46	53.4	
66.47	434.75	177-1089B-7-5,5-6.5	3.62	-0.02	4.35	-0.88	52.7	24.4
66.52	434.93	177-1089B-7-5,10-11.5	3.64	-0.32	4.34	-1.45	51.1	
66.57	435.11	177-1089B-7-5,15-16.5	3.53	-0.05	4.23	-1.23	53.1	13.6
66.62	435.29	177-1089B-7-5,20-21.5	3.35	-0.12	4.38	-1.52	52.9	
66.67	435.46	177-1089B-7-5,25-26.5	3.47	-0.39	4.31	-1.28	52.6	18.3
66.72	435.64	177-1089B-7-5,30-31.5	3.30	-0.20	4.48	-1.12	50.8	
66.77	435.82	177-1089B-7-5,35-36.5	3.22	-0.16	4.41	-0.85	51.1	18.2
66.82	436.00	177-1089B-7-5,40-41.5	3.21	-0.22	4.44	-0.99	45.2	
66.87	436.18	177-1089B-7-5,45-46.5	3.41	-0.05	4.36	-1.02	46.8	
66.92	436.36	177-1089B-7-5,50-51.5	3.44	-0.15	4.30	-1.47	44.0	
66.97	436.54	177-1089C-8-1,100-102	3.40	-0.30	4.19	-1.23	44.3	14.6
67.02	436.71	177-1089C-8-1,105-107	3.11	-0.64	4.25	-1.68	40.2	
67.07	436.89	177-1089C-8-1,110-112	3.35	-0.22	4.30	-1.53	34.8	
67.12	437.07	177-1089C-8-1,115-117	3.27	-0.15	4.23	-1.10	32.1	
67.17	437.25	177-1089C-8-1,120-122	3.14	-0.36	4.21	-1.29	29.8	20.6
67.22	437.43	177-1089C-8-1,125-127	3.11	-0.83	4.25	-1.25	25.7	
